Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	
HA	HM628693	No	4	1701	H3N2	03/03/2010	IRD:Human	Brazil	-N/A-	-N/A-	A/Acre/15093/2010(H3N2)	
HA	HM628694	No	4	1701	H3N2	04/04/2010	IRD:Human	Brazil	-N/A-	-N/A-	A/Acre/26954/2010(H3N2)	
HA	KT889256	Yes	4	1701	H3N2	09/26/2013	IRD:Human	Ethiopia	-N/A-	-N/A-	A/Addis Ababa/1514A07305892N/2013	
HA	KC882982	No	4	1701	H3N2	01/05/2011	IRD:Human	USA	Alabama	10-11	A/Alabama/01/2011	
HA	KC893090	No	4	1701	H3N2	01/21/2012	IRD:Human	USA	Alabama	11-12	A/Alabama/02/2012	
HA	KC883039	No	4	1701	H3N2	04/04/2011	IRD:Human	USA	Alabama	10-11	A/Alabama/03/2011	
HA	KC892474	No	4	1701	H3N2	02/16/2012	IRD:Human	USA	Alabama	11-12	A/Alabama/03/2012	
HA	KC892531	No	4	1701	H3N2	12/07/2011	IRD:Human	USA	Alabama	11-12	A/Alabama/04/2011	
HA	KC535440	No	4	1701	H3N2	07/13/2010	IRD:Human	USA	Alabama	-N/A-	A/Alabama/05/2010	
HA	KC892558	No	4	1701	H3N2	03/01/2012	IRD:Human	USA	Alabama	11-12	A/Alabama/05/2012	
HA	KT838345	Yes	4	1701	H3N2	10/20/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/05/2014	
HA	KT838347	No	4	1701	H3N2	10/21/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/06/2014	
HA	KC882678	No	4	1701	H3N2	10/28/2010	IRD:Human	USA	Alabama	10-11	A/Alabama/07/2010	
HA	KC893059	No	4	1701	H3N2	03/20/2012	IRD:Human	USA	Alabama	11-12	A/Alabama/07/2012	
HA	KF789571	No	4	1701	H3N2	05/22/2013	IRD:Human	USA	Alabama	12-13	A/Alabama/07/2013	
HA	KT837659	Yes	4	1701	H3N2	10/23/2014	IRD:Human	USA	Alabama	14-15	A/Alabama/07/2014	
HA	KC882801	No	4	1701	H3N2	11/03/2010	IRD:Human	USA	Alabama	10-11	A/Alabama/08/2010	
