Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	
HA	MH283564	Yes	4	1704	H1N1	08/01/2013	IRD:Swine	USA	Ohio	-N/A-	A/air/Ohio/13TOSU6529/2013	
HA	MH083301	Yes	4	1752	H1N1	01/02/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/01/2018	
HA	MH083309	Yes	4	1752	H1N1	01/03/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/02/2018	
HA	MH125602	Yes	4	1753	H1N1	01/12/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/05/2018	
HA	MH125610	Yes	4	1752	H1N1	01/13/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/07/2018	
HA	MH125618	Yes	4	1752	H1N1	01/15/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/08/2018	
HA	MH125626	Yes	4	1752	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/10/2018	
HA	MH125634	Yes	4	1752	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/11/2018	
HA	MH125642	Yes	4	1752	H1N1	01/18/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/12/2018	
HA	MH125650	Yes	4	1752	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/15/2018	
HA	MH125658	Yes	4	1752	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	
HA	MH443420	Yes	4	1752	H1N1	02/05/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/16/2018	
HA	MH183453	Yes	4	1752	H1N1	02/08/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/17/2018	
HA	MH183461	Yes	4	1752	H1N1	02/10/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/19/2018	
HA	MH359814	Yes	4	1752	H1N1	02/26/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/21/2018	
HA	MH245901	Yes	4	1752	H1N1	02/24/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/22/2018	
HA	MH601179	Yes	4	1752	H1N1	02/04/2018	IRD:Human	USA	Alabama	17-18	A/Alabama/24/2018	
