Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	
HA	CY083910	Yes	4	1752	H1N1	11/23/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aalborg/INS132/2009(H1N1)	
HA	CY063606	Yes	4	1734	H1N1	12/02/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aalborg/INS133/2009(H1N1)	
HA	CY083776	No	4	1748	H1N1	11/25/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aalborg/INS282/2009	
HA	CY073725	Yes	4	1734	H1N1	12/07/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aalborg/INS283/2009(H1N1)	
HA	CY062691	Yes	4	1734	H1N1	11/24/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS116/2009(H1N1)	
HA	CY062699	Yes	4	1734	H1N1	11/27/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS118/2009(H1N1)	
HA	CY066935	Yes	4	1734	H1N1	11/19/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS236/2009(H1N1)	
HA	CY066943	Yes	4	1734	H1N1	11/23/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS237/2009(H1N1)	
HA	CY066951	Yes	4	1734	H1N1	11/24/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS238/2009(H1N1)	
HA	CY083761	No	4	1750	H1N1	11/25/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS239/2009	
HA	CY066959	Yes	4	1734	H1N1	11/26/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS240/2009(H1N1)	
HA	CY066967	Yes	4	1734	H1N1	11/26/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS241/2009(H1N1)	
HA	CY066975	Yes	4	1734	H1N1	11/24/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS242/2009(H1N1)	
HA	CY067031	Yes	4	1734	H1N1	11/21/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS251/2009	
HA	CY067039	Yes	4	1743	H1N1	11/21/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS252/2009(H1N1)	
HA	CY067047	Yes	4	1734	H1N1	11/22/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS253/2009(H1N1)	
HA	CY067055	Yes	4	1734	H1N1	11/28/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS254/2009(H1N1)	
HA	CY176570	Yes	4	1730	H1N1	01/25/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS3_653/2011	
HA	CY176578	Yes	4	1755	H1N1	01/14/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS3_654/2011	
HA	CY176586	Yes	4	1752	H1N1	02/07/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS3_655/2011	
HA	CY129910	Yes	4	1752	H1N1	01/25/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS609/2011	
HA	CY129918	Yes	4	1752	H1N1	01/21/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS610/2011	
HA	CY129926	Yes	4	1734	H1N1	01/19/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS612/2011	
HA	CY129934	Yes	4	1752	H1N1	01/20/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS613/2011	
HA	CY129546	No	4	1752	H1N1	01/13/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS614/2011	
HA	CY129942	Yes	4	1752	H1N1	02/04/2011	IRD:Human	Denmark	-N/A-	10-11	A/Aarhus/INS615/2011	
HA	CY056947	Yes	4	1720	H1N1	11/20/2009	IRD:Human	Denmark	-N/A-	09-10	A/Aarhus/INS82/2009(H1N1)	
HA	GU367315	No	4	1752	H1N1	2009	IRD:Human	Russia	-N/A-	-N/A-	A/Abakan/02/2009(H1N1)	
HA	KX088384	No	4	1701	H1N1	12/11/2015	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/01/2015	
HA	KX214547	No	4	1701	H1N1	12/24/2015	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/02/2015	
HA	KX214548	No	4	1701	H1N1	12/30/2015	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/05/2015	
HA	KX214551	No	4	1701	H1N1	12/30/2015	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/07/2015	
HA	KX097043	No	4	1701	H1N1	01/31/2015	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/08/2015	
HA	KX214552	No	4	1701	H1N1	12/31/2015	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/09/2015	
HA	KX097044	No	4	1701	H1N1	01/04/2016	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/11/2016	
HA	KX097045	No	4	1701	H1N1	01/04/2016	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/12/2016	
HA	KX097046	No	4	1701	H1N1	01/04/2016	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/13/2016	
HA	KX097047	No	4	1701	H1N1	01/04/2016	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/14/2016	
HA	KX097048	No	4	1701	H1N1	01/04/2016	IRD:Human	Turkey	-N/A-	-N/A-	A/Adana/15/2016	
HA	CY071818	No	4	1695	H1N1	12/01/2009	IRD:Human	Ethiopia	-N/A-	-N/A-	A/Addis Ababa/WR2848N/2009(H1N1)	
HA	CY071826	No	4	1701	H1N1	12/01/2009	IRD:Human	Ethiopia	-N/A-	-N/A-	A/Addis Ababa/WR2848T/2009(H1N1)	
HA	CY062377	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09787/2009(H1N1)	
HA	CY062378	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09795/2009(H1N1)	
HA	CY062379	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09800/2009(H1N1)	
HA	CY062380	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09817/2009(H1N1)	
HA	CY062381	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09821/2009(H1N1)	
HA	CY062382	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09827/2009(H1N1)	
HA	CY062383	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09828/2009(H1N1)	
HA	CY062384	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09831/2009(H1N1)	
HA	CY062385	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09833/2009(H1N1)	
HA	CY062386	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09836/2009(H1N1)	
HA	CY062387	No	4	1701	H1N1	08/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N09840/2009(H1N1)	
HA	CY062389	No	4	1701	H1N1	09/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10725/2009(H1N1)	
HA	CY062390	No	4	1701	H1N1	09/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10731/2009(H1N1)	
HA	CY062391	No	4	1701	H1N1	09/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10734/2009(H1N1)	
HA	CY062392	No	4	1701	H1N1	09/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10736/2009(H1N1)	
HA	CY062393	No	4	1701	H1N1	09/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10749/2009(H1N1)	
HA	CY062394	No	4	1701	H1N1	09/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10757/2009(H1N1)	
HA	CY062395	No	4	1701	H1N1	09/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10760/2009(H1N1)	
HA	CY062396	No	4	1701	H1N1	09/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10765/2009(H1N1)	
HA	CY062397	No	4	1701	H1N1	09/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10767/2009(H1N1)	
HA	CY062398	No	4	1701	H1N1	09/13/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10771/2009(H1N1)	
HA	CY062399	No	4	1701	H1N1	09/12/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10782/2009(H1N1)	
HA	CY062400	No	4	1701	H1N1	09/07/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10786/2009(H1N1)	
HA	CY062401	No	4	1701	H1N1	09/13/2009	IRD:Human	Afghanistan	-N/A-	-N/A-	A/Afghanistan/N10788/2009(H1N1)	
